x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-16.15000E-03,+13.04962E-03,-17.58403003E+00,-8.02450E-03,+11.23154845E+00
-16.12500E-03,+13.04962E-03,-17.66794963E+00,-8.02450E-03,+11.20642283E+00
-16.10000E-03,+13.04962E-03,-17.72624090E+00,-8.02450E-03,+11.19335731E+00
-16.07500E-03,+13.04962E-03,-17.78704492E+00,-8.02450E-03,+11.15767892E+00
-16.05000E-03,+13.04962E-03,-17.84784894E+00,-8.02450E-03,+11.13456334E+00
-16.02500E-03,+13.04962E-03,-17.90161760E+00,-8.02450E-03,+11.11144776E+00
-16.00000E-03,+13.04962E-03,-17.93679386E+00,-8.02450E-03,+11.08833218E+00
-15.97500E-03,+13.04962E-03,-17.99558783E+00,-8.02450E-03,+11.07777942E+00
-15.95000E-03,+13.04962E-03,-18.05337659E+00,-8.02450E-03,+11.06722666E+00
-15.92500E-03,+13.04962E-03,-18.09005981E+00,-8.02450E-03,+11.05566906E+00
-15.90000E-03,+13.04962E-03,-18.12473337E+00,-8.02450E-03,+11.04310624E+00
-15.87500E-03,+13.25062E-03,-18.16041177E+00,-8.02450E-03,+11.03054343E+00
-15.85000E-03,+13.04962E-03,-18.22121579E+00,-8.02450E-03,+11.01798061E+00
-15.82500E-03,+13.04962E-03,-18.26945700E+00,-8.02450E-03,+11.01446283E+00
-15.80000E-03,+13.04962E-03,-18.30513539E+00,-8.02450E-03,+10.98029217E+00
-15.77500E-03,+13.04962E-03,-18.34081378E+00,-8.02450E-03,+10.95566886E+00
-15.75000E-03,+13.04962E-03,-18.37649217E+00,-8.02450E-03,+10.94260373E+00
-15.72500E-03,+13.04962E-03,-18.41217057E+00,-8.02450E-03,+10.91747810E+00
-15.70000E-03,+13.04962E-03,-18.44181861E+00,-8.02450E-03,+10.87978966E+00
-15.67500E-03,+13.39132E-03,-18.44181861E+00,-8.02450E-03,+10.87978966E+00
-15.65000E-03,+13.04962E-03,-18.45438143E+00,-8.44660E-03,+10.86722684E+00
-15.62500E-03,+13.04962E-03,-18.46694424E+00,-8.02450E-03,+10.85466403E+00
-15.60000E-03,+13.04962E-03,-18.47749720E+00,-8.02450E-03,+10.84210122E+00
-15.57500E-03,+13.04962E-03,-18.47096414E+00,-8.02450E-03,+10.83355830E+00
-15.55000E-03,+13.04962E-03,-18.47950705E+00,-8.02450E-03,+10.82300554E+00
-15.52500E-03,+13.04962E-03,-18.48402987E+00,-8.02450E-03,+10.80893559E+00
-15.50000E-03,+13.04962E-03,-18.49206987E+00,-8.02450E-03,+10.79184996E+00
-15.47500E-03,+13.06973E-03,-18.50463268E+00,-8.02450E-03,+10.75416152E+00
-15.45000E-03,+13.04962E-03,-18.50463268E+00,-8.02450E-03,+10.74159870E+00
-15.42500E-03,+13.04962E-03,-18.51367812E+00,-8.02450E-03,+10.71647307E+00
-15.40000E-03,+13.33104E-03,-18.51719550E+00,-8.02450E-03,+10.70391026E+00
-15.37500E-03,+13.35112E-03,-18.52975831E+00,-8.02450E-03,+10.67878463E+00
-15.35000E-03,+13.04962E-03,-18.52975831E+00,-8.02450E-03,+10.66622182E+00
-15.32500E-03,+13.04962E-03,-18.54232112E+00,-8.02450E-03,+10.65365900E+00
-15.30000E-03,+13.08982E-03,-18.54232112E+00,-8.02450E-03,+10.65365900E+00
-15.27500E-03,+13.04962E-03,-18.54232112E+00,-8.02450E-03,+10.64109619E+00
-15.25000E-03,+13.04962E-03,-18.55488394E+00,-8.02450E-03,+10.62853337E+00
-15.22500E-03,+13.04962E-03,-18.56744675E+00,-8.02450E-03,+10.61597056E+00
-15.20000E-03,+13.41142E-03,-18.57096455E+00,-8.02450E-03,+10.59988994E+00
-15.17500E-03,+13.49183E-03,-18.58000957E+00,-8.02450E-03,+10.57828212E+00
-15.15000E-03,+13.53204E-03,-18.59257238E+00,-8.02450E-03,+10.55365879E+00
-15.12500E-03,+13.04962E-03,-18.60513520E+00,-8.02450E-03,+10.54059368E+00
-15.10000E-03,+13.04962E-03,-18.60513520E+00,-8.02450E-03,+10.50742763E+00
-15.07500E-03,+13.29084E-03,-18.62372838E+00,-8.02450E-03,+10.49034242E+00
-15.05000E-03,+13.39132E-03,-18.63428114E+00,-8.02450E-03,+10.47777960E+00
-15.02500E-03,+13.55214E-03,-18.64282364E+00,-8.02450E-03,+10.46521679E+00
-15.00000E-03,+13.55214E-03,-18.64282364E+00,-8.02450E-03,+10.46521657E+00
-14.97500E-03,+13.04962E-03,-18.65538645E+00,-8.02450E-03,+10.45265398E+00
-14.95000E-03,+13.39134E-03,-18.66392939E+00,-8.02450E-03,+10.44411104E+00
-14.92500E-03,+13.04962E-03,-18.66794927E+00,-8.02450E-03,+10.43355828E+00
-14.90000E-03,+13.04962E-03,-18.67247210E+00,-8.02450E-03,+10.42752835E+00
-14.87500E-03,+13.45162E-03,-18.68051208E+00,-8.02450E-03,+10.41496553E+00
-14.85000E-03,+13.04962E-03,-18.68051208E+00,-8.02450E-03,+10.38983991E+00
-14.82500E-03,+13.10992E-03,-18.69307489E+00,-8.02450E-03,+10.36622159E+00
-14.80000E-03,+13.04962E-03,-18.69307489E+00,-8.02450E-03,+10.33958865E+00
-14.77500E-03,+13.27072E-03,-18.69860231E+00,-8.02450E-03,+10.31446302E+00
-14.75000E-03,+13.04962E-03,-18.70563771E+00,-8.32600E-03,+10.29184950E+00
