x-axis,F1
second,Volt
-12.95000E-03,-15.90456485E+00
-12.92500E-03,-15.72155707E+00
-12.90000E-03,-15.57316781E+00
-12.87500E-03,-15.45666390E+00
-12.85000E-03,-15.30090332E+00
-12.82500E-03,-15.14675179E+00
-12.80000E-03,-15.00568702E+00
-12.77500E-03,-14.88195745E+00
-12.75000E-03,-14.72351018E+00
-12.72500E-03,-14.56061868E+00
-12.70000E-03,-14.46511143E+00
-12.67500E-03,-14.29846163E+00
-12.65000E-03,-14.15178106E+00
-12.62500E-03,-14.03771828E+00
-12.60000E-03,-13.90436980E+00
-12.57500E-03,-13.73181067E+00
-12.55000E-03,-13.62546212E+00
-12.52500E-03,-13.47892949E+00
-12.50000E-03,-13.31237732E+00
-12.47500E-03,-13.17219091E+00
-12.45000E-03,-13.05251346E+00
-12.42500E-03,-12.91086365E+00
-12.40000E-03,-12.75602908E+00
-12.37500E-03,-12.65173220E+00
-12.35000E-03,-12.49768037E+00
-12.32500E-03,-12.40261139E+00
-12.30000E-03,-12.28039492E+00
-12.27500E-03,-12.12731845E+00
-12.25000E-03,-12.05822662E+00
-12.22500E-03,-11.91101074E+00
-12.20000E-03,-11.84352905E+00
-12.17500E-03,-11.69943785E+00
-12.15000E-03,-11.55925170E+00
-12.12500E-03,-11.45739683E+00
-12.10000E-03,-11.31042480E+00
-12.07500E-03,-11.18288451E+00
-12.05000E-03,-11.06784574E+00
-12.02500E-03,-10.91101014E+00
-12.00000E-03,-10.79431028E+00
-11.97500E-03,-10.68078552E+00
-11.95000E-03,-10.53454529E+00
-11.92500E-03,-10.43015011E+00
-11.90000E-03,-10.27990661E+00
-11.87500E-03,-10.12145901E+00
-11.85000E-03,-9.97932003E+00
-11.82500E-03,-9.84548244E+00
-11.80000E-03,-9.68908660E+00
-11.77500E-03,-9.53210356E+00
-11.75000E-03,-9.38513056E+00
-11.72500E-03,-9.24352934E+00
-11.70000E-03,-9.08410613E+00
-11.67500E-03,-8.90183040E+00
-11.65000E-03,-8.72990594E+00
-11.62500E-03,-8.59509117E+00
-11.60000E-03,-8.43542386E+00
-11.57500E-03,-8.27990659E+00
-11.55000E-03,-8.09592219E+00
-11.52500E-03,-7.92204428E+00
-11.50000E-03,-7.80139030E+00
-11.47500E-03,-7.64704459E+00
-11.45000E-03,-7.47766081E+00
-11.42500E-03,-7.30490687E+00
-11.40000E-03,-7.17106770E+00
-11.37500E-03,-7.05041404E+00
-11.35000E-03,-6.88488737E+00
-11.32500E-03,-6.73781638E+00
-11.30000E-03,-6.66418425E+00
-11.27500E-03,-6.52624447E+00
-11.25000E-03,-6.46789482E+00
-11.22500E-03,-6.32380270E+00
-11.20000E-03,-6.28381315E+00
-11.17500E-03,-6.16598987E+00
-11.15000E-03,-6.08752409E+00
-11.12500E-03,-5.95739611E+00
-11.10000E-03,-5.85309923E+00
-11.07500E-03,-5.68239677E+00
-11.05000E-03,-5.50534532E+00
-11.02500E-03,-5.31315782E+00
-11.00000E-03,-5.10876328E+00
-10.97500E-03,-4.89509174E+00
-10.95000E-03,-4.67336255E+00
-10.92500E-03,-4.45666403E+00
-10.90000E-03,-4.22136025E+00
-10.87500E-03,-4.00793248E+00
-10.85000E-03,-3.78884034E+00
-10.82500E-03,-3.57829346E+00
-10.80000E-03,-3.40583286E+00
-10.77500E-03,-3.24064836E+00
-10.75000E-03,-3.07678223E+00
-10.72500E-03,-2.88098110E+00
-10.70000E-03,-2.75295201E+00
-10.67500E-03,-2.64816754E+00
-10.65000E-03,-2.48644985E+00
-10.62500E-03,-2.31384171E+00
-10.60000E-03,-2.18586250E+00
-10.57500E-03,-2.06750454E+00
-10.55000E-03,-1.89377334E+00
-10.52500E-03,-1.78610624E+00
-10.50000E-03,-1.66784560E+00
-10.47500E-03,-1.50031700E+00
-10.45000E-03,-1.42824634E+00
-10.42500E-03,-1.28723145E+00
-10.40000E-03,-1.19694680E+00
-10.37500E-03,-1.07482910E+00
-10.35000E-03,-991.28309E-03
-10.32500E-03,-873.65687E-03
-10.30000E-03,-789.76941E-03
-10.27500E-03,-689.86777E-03
-10.25000E-03,-609.74050E-03
-10.22500E-03,-488.59788E-03
-10.20000E-03,-439.23229E-03
-10.17500E-03,-299.68262E-03
-10.15000E-03,-262.32874E-03
-10.12500E-03,-143.67564E-03
-10.10000E-03,-86.05957E-03
-10.07500E-03,-67.99280E-03
-10.05000E-03,-69.94593E-03
-10.02500E-03,-49.43848E-03
-10.00000E-03,-49.43808E-03
-9.97500E-03,-36.01074E-03
-9.95000E-03,-32.10486E-03
-9.92500E-03,-17.45569E-03
-9.90000E-03,+610.35E-06
-9.87500E-03,+15.25916E-03
-9.85000E-03,+37.76896E-03
-9.82500E-03,+50.65918E-03
-9.80000E-03,+75.07324E-03
-9.77500E-03,+119.75135E-03
-9.75000E-03,+182.98492E-03
-9.72500E-03,+328.24744E-03
-9.70000E-03,+455.05524E-03
-9.67500E-03,+525.51270E-03
-9.65000E-03,+575.56152E-03
-9.62500E-03,+620.72791E-03
-9.60000E-03,+630.98182E-03
-9.57500E-03,+622.19201E-03
-9.55000E-03,+625.61035E-03
-9.52500E-03,+674.68337E-03
-9.50000E-03,+737.91504E-03
-9.47500E-03,+697.09393E-03
-9.45000E-03,+687.96466E-03
-9.42500E-03,+767.45644E-03
-9.40000E-03,+721.80100E-03
-9.37500E-03,+751.34316E-03
-9.35000E-03,+740.06306E-03
-9.32500E-03,+713.50098E-03
-9.30000E-03,+769.40880E-03
-9.27500E-03,+742.74945E-03
-9.25000E-03,+785.52208E-03
-9.22500E-03,+764.03847E-03
-9.20000E-03,+789.57477E-03
-9.17500E-03,+775.75684E-03
-9.15000E-03,+787.96387E-03
-9.12500E-03,+780.64004E-03
-9.10000E-03,+787.96387E-03
-9.07500E-03,+789.03852E-03
-9.05000E-03,+789.03765E-03
-9.02500E-03,+791.18609E-03
-9.00000E-03,+737.91504E-03
-8.97500E-03,+793.87250E-03
-8.95000E-03,+758.17950E-03
-8.92500E-03,+775.75684E-03
-8.90000E-03,+775.26895E-03
-8.87500E-03,+787.96387E-03
-8.85000E-03,+787.96387E-03
-8.82500E-03,+782.10409E-03
-8.80000E-03,+787.96387E-03
-8.77500E-03,+801.39160E-03
-8.75000E-03,+787.96431E-03
-8.72500E-03,+790.11186E-03
-8.70000E-03,+784.05802E-03
-8.67500E-03,+794.40874E-03
-8.65000E-03,+787.96387E-03
-8.62500E-03,+768.43343E-03
-8.60000E-03,+763.54980E-03
-8.57500E-03,+787.96387E-03
-8.55000E-03,+784.54631E-03
-8.52500E-03,+765.01546E-03
-8.50000E-03,+796.02006E-03
-8.47500E-03,+801.39160E-03
-8.45000E-03,+801.39160E-03
-8.42500E-03,+787.96387E-03
-8.40000E-03,+791.18607E-03
-8.37500E-03,+793.33451E-03
-8.35000E-03,+801.39160E-03
-8.32500E-03,+801.39160E-03
-8.30000E-03,+801.39160E-03
-8.27500E-03,+813.11077E-03
-8.25000E-03,+787.96387E-03
-8.22500E-03,+787.96387E-03
-8.20000E-03,+781.61663E-03
-8.17500E-03,+801.39160E-03
-8.15000E-03,+813.59863E-03
-8.12500E-03,+825.80524E-03
-8.10000E-03,+821.90025E-03
