x-axis,1,2,3
second,Volt,Volt,Volt
+30.500E-03,-685.223E-03,-81.263E-03,+2.257891E+00
+30.600E-03,-724.821E-03,-83.273E-03,+2.257891E+00
+30.700E-03,-785.123E-03,-85.786E-03,+2.256785E+00
+30.800E-03,-866.329E-03,-85.786E-03,+2.256986E+00
+30.900E-03,-952.057E-03,-88.298E-03,+2.256635E+00
+31.000E-03,-1.025927E+00,-87.293E-03,+2.256635E+00
+31.100E-03,-1.094871E+00,-85.786E-03,+2.256635E+00
+31.200E-03,-1.147535E+00,-83.273E-03,+2.256635E+00
+31.300E-03,-1.176278E+00,-80.761E-03,+2.256534E+00
+31.400E-03,-1.200600E+00,-78.248E-03,+2.256635E+00
+31.500E-03,-1.213364E+00,-78.248E-03,+2.255378E+00
+31.600E-03,-1.243916E+00,-80.761E-03,+2.254122E+00
+31.700E-03,-1.286831E+00,-83.273E-03,+2.254122E+00
+31.800E-03,-1.344922E+00,-83.575E-03,+2.253971E+00
+31.900E-03,-1.414871E+00,-85.685E-03,+2.252866E+00
+32.000E-03,-1.494268E+00,-85.786E-03,+2.251610E+00
+32.100E-03,-1.556379E+00,-85.786E-03,+2.250353E+00
+32.200E-03,-1.611253E+00,-83.273E-03,+2.250353E+00
+32.300E-03,-1.648138E+00,-80.761E-03,+2.249097E+00
+32.400E-03,-1.662007E+00,-78.248E-03,+2.251409E+00
+32.500E-03,-1.674168E+00,-75.736E-03,+2.250353E+00
+32.600E-03,-1.691354E+00,-78.248E-03,+2.249298E+00
+32.700E-03,-1.713665E+00,-80.761E-03,+2.247841E+00
+32.800E-03,-1.749846E+00,-83.273E-03,+2.247238E+00
+32.900E-03,-1.792660E+00,-82.369E-03,+2.247388E+00
+33.000E-03,-1.842509E+00,-83.273E-03,+2.245579E+00
+33.100E-03,-1.885525E+00,-83.173E-03,+2.245328E+00
+33.200E-03,-1.921404E+00,-81.062E-03,+2.244223E+00
+33.300E-03,-1.945927E+00,-78.248E-03,+2.244976E+00
+33.400E-03,-1.967032E+00,-75.736E-03,+2.244072E+00
+33.500E-03,-1.971655E+00,-70.710E-03,+2.244072E+00
+33.600E-03,-1.970650E+00,-65.685E-03,+2.243770E+00
+33.700E-03,-1.968138E+00,-63.173E-03,+2.242816E+00
+33.800E-03,-1.968138E+00,-63.173E-03,+2.242816E+00
+33.900E-03,-1.970650E+00,-65.082E-03,+2.241559E+00
+34.000E-03,-1.972158E+00,-65.685E-03,+2.241559E+00
+34.100E-03,-1.973163E+00,-65.685E-03,+2.241559E+00
+34.200E-03,-1.975675E+00,-68.198E-03,+2.240303E+00
+34.300E-03,-1.975675E+00,-68.198E-03,+2.240303E+00
+34.400E-03,-1.978188E+00,-68.198E-03,+2.239097E+00
+34.500E-03,-1.982710E+00,-68.198E-03,+2.240303E+00
+34.600E-03,-1.988238E+00,-67.293E-03,+2.239047E+00
+34.700E-03,-1.988238E+00,-65.685E-03,+2.239047E+00
+34.800E-03,-1.989042E+00,-65.685E-03,+2.239047E+00
+34.900E-03,-1.988238E+00,-63.575E-03,+2.239047E+00
+35.000E-03,-1.990751E+00,-63.173E-03,+2.237791E+00
+35.100E-03,-1.988238E+00,-61.062E-03,+2.237791E+00
+35.200E-03,-1.986529E+00,-60.660E-03,+2.237791E+00
+35.300E-03,-1.985725E+00,-58.148E-03,+2.237791E+00
+35.400E-03,-1.983213E+00,-57.243E-03,+2.236986E+00
+35.500E-03,-1.980198E+00,-55.133E-03,+2.237791E+00
+35.600E-03,-1.973062E+00,-47.896E-03,+2.236534E+00
+35.700E-03,-1.949243E+00,-21.364E-03,+2.236534E+00
+35.800E-03,-1.904519E+00,+16.224E-03,+2.236534E+00
+35.900E-03,-1.858087E+00,+65.571E-03,+2.236534E+00
+36.000E-03,-1.806328E+00,+118.234E-03,+2.234775E+00
+36.100E-03,-1.747836E+00,+180.445E-03,+2.234022E+00
+36.200E-03,-1.685323E+00,+237.229E-03,+2.235177E+00
+36.300E-03,-1.617786E+00,+302.255E-03,+2.234022E+00
+36.400E-03,-1.562208E+00,+354.013E-03,+2.234022E+00
+36.500E-03,-1.508841E+00,+409.692E-03,+2.232765E+00
+36.600E-03,-1.447534E+00,+467.481E-03,+2.234725E+00
+36.700E-03,-1.397886E+00,+518.938E-03,+2.233670E+00
+36.800E-03,-1.348238E+00,+563.963E-03,+2.232765E+00
+36.900E-03,-1.302811E+00,+607.179E-03,+2.231509E+00
+37.000E-03,-1.257585E+00,+656.928E-03,+2.231509E+00
+37.100E-03,-1.211153E+00,+702.053E-03,+2.230253E+00
+37.200E-03,-1.164318E+00,+750.697E-03,+2.230856E+00
+37.300E-03,-1.109946E+00,+806.777E-03,+2.230655E+00
+37.400E-03,-1.046529E+00,+865.973E-03,+2.230454E+00
+37.500E-03,-988.238E-03,+921.752E-03,+2.230253E+00
+37.600E-03,-930.349E-03,+984.265E-03,+2.228997E+00
+37.700E-03,-874.972E-03,+1.036626E+00,+2.228997E+00
+37.800E-03,-824.620E-03,+1.086677E+00,+2.228343E+00
+37.900E-03,-785.223E-03,+1.123862E+00,+2.227288E+00
